"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 00:00","2025","05","01","00:00","","7.6","","3.1","","73","","0.0","","12","","9","","16.1","","98.13","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 01:00","2025","05","01","01:00","","7.2","","3.6","","78","","0.0","","7","","8","","16.1","","98.13","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 02:00","2025","05","01","02:00","","5.7","","2.9","","82","","0.0","","11","","8","","16.1","","98.06","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 03:00","2025","05","01","03:00","","6.0","","3.0","","81","","0.0","","5","","8","","16.1","","98.02","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 04:00","2025","05","01","04:00","","6.3","","2.8","","78","","0.0","","6","","9","","16.1","","97.98","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 05:00","2025","05","01","05:00","","6.7","","2.0","","72","","0.0","","6","","9","","16.1","","97.95","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 06:00","2025","05","01","06:00","","7.2","","1.6","","68","","0.0","","9","","9","","16.1","","97.94","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 07:00","2025","05","01","07:00","","8.2","","1.0","","60","","0.0","","9","","15","","16.1","","97.91","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 08:00","2025","05","01","08:00","","8.5","","0.8","","58","","0.0","","8","","15","","16.1","","97.87","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 09:00","2025","05","01","09:00","","7.3","","3.1","","75","","0.8","","3","","8","","11.3","","97.94","","","","","","Rain"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 10:00","2025","05","01","10:00","","7.2","","4.4","","83","","2.0","","5","","18","","16.1","","97.82","","","","","","Rain"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 11:00","2025","05","01","11:00","","8.9","","6.5","","85","","0.0","","8","","22","","16.1","","97.56","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 12:00","2025","05","01","12:00","","9.3","","5.2","","75","","0.0","","9","","21","","16.1","","97.48","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 13:00","2025","05","01","13:00","","8.3","","3.9","","74","","0.0","","9","","28","","16.1","","97.37","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 14:00","2025","05","01","14:00","","7.3","","5.5","","88","","3.8","","6","","17","","14.5","","97.34","","","","","","Rain"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 15:00","2025","05","01","15:00","","7.8","","5.2","","84","","0.8","","9","","21","","16.1","","97.23","","","","","","Rain"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 16:00","2025","05","01","16:00","","7.3","","5.9","","91","","3.8","","4","","9","","16.1","","97.20","","","","","","Rain"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 17:00","2025","05","01","17:00","","7.3","","6.4","","94","","8.1","","9","","17","","9.7","","97.07","","","","","","Rain,Fog"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 18:00","2025","05","01","18:00","","7.6","","6.6","","93","","0.2","","10","","22","","16.1","","97.03","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 19:00","2025","05","01","19:00","","8.0","","7.1","","94","","0.0","","11","","15","","16.1","","96.96","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 20:00","2025","05","01","20:00","","8.1","","7.4","","95","","0.2","","11","","13","","16.1","","96.97","","","","","","Rain"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 21:00","2025","05","01","21:00","","7.9","","7.5","","97","","0.0","","9","","8","","16.1","","96.90","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 22:00","2025","05","01","22:00","","8.0","","7.7","","98","","0.0","","13","","8","","4.8","","96.89","","","","","","Fog"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-01 23:00","2025","05","01","23:00","","8.2","","8.1","","99","","0.0","","13","","13","","0.6","","96.79","","","","","","Fog"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 00:00","2025","05","02","00:00","","9.0","","9.0","","100","","0.0","","17","","11","","0.4","","96.73","","","","","","Fog"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 01:00","2025","05","02","01:00","","10.0","","10.0","","100","","0.0","","19","","15","","0.6","","96.68","","","","","","Fog"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 02:00","2025","05","02","02:00","","11.4","","11.4","","100","","0.0","","21","","13","","2.4","","96.69","","","","","","Fog"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 03:00","2025","05","02","03:00","","13.1","","12.8","","98","","0.0","","22","","21","","9.7","","96.70","","","","","","Fog"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 04:00","2025","05","02","04:00","","13.8","","12.7","","93","","0.0","","24","","18","","16.1","","96.76","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 05:00","2025","05","02","05:00","","13.1","","11.7","","91","","0.0","","24","","24","","16.1","","96.79","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 06:00","2025","05","02","06:00","","13.4","","11.5","","88","","0.0","","23","","21","","16.1","","96.85","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 07:00","2025","05","02","07:00","","13.7","","10.9","","83","","0.0","","24","","22","","16.1","","96.89","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 08:00","2025","05","02","08:00","","13.7","","9.6","","76","","0.0","","26","","37","","16.1","","96.96","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 09:00","2025","05","02","09:00","","13.6","","9.2","","75","","0.0","","25","","28","","16.1","","97.00","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 10:00","2025","05","02","10:00","","14.3","","9.9","","74","","0.0","","26","","21","","16.1","","97.00","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 11:00","2025","05","02","11:00","","15.0","","10.2","","73","","0.0","","26","","24","","16.1","","97.02","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 12:00","2025","05","02","12:00","","17.0","","10.9","","67","","0.0","","25","","28","","16.1","","97.04","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 13:00","2025","05","02","13:00","","16.6","","10.5","","67","","0.0","","28","","32","","16.1","","97.08","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 14:00","2025","05","02","14:00","","17.1","","10.6","","65","","0.0","","27","","28","","16.1","","97.12","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 15:00","2025","05","02","15:00","","17.9","","11.0","","64","","0.0","","25","","28","","16.1","","97.13","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 16:00","2025","05","02","16:00","","16.8","","11.2","","69","","0.0","","28","","22","","16.1","","97.14","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 17:00","2025","05","02","17:00","","14.7","","10.0","","73","","0.0","","32","","18","","16.1","","97.16","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 18:00","2025","05","02","18:00","","13.2","","8.9","","75","","0.0","","33","","21","","16.1","","97.21","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 19:00","2025","05","02","19:00","","10.6","","7.5","","81","","0.0","","33","","15","","16.1","","97.35","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 20:00","2025","05","02","20:00","","9.0","","6.5","","84","","0.0","","34","","9","","16.1","","97.38","","","","","","NA"
"-80.38","43.46","KITCHENER/WATERLOO","6144239","2025-05-02 21:00","2025","05","02","21:00","","8.6","","5.6","","82","","0.0","","33","","21","","16.1","","97.47","","","","","","NA"
